Player,Team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kiki Vandeweghe,DEN,38:00,13,21,.619,0,0,,11,12,.917,1,3,4,6,0,0,0,2,37,.704,.619,.000,.571,2.7,8.1,5.4,19.6,0.0,0.0,0.0,25.5,161,121
Alex English,DEN,34:00,10,18,.556,0,0,,3,5,.600,3,6,9,4,0,2,3,4,23,.569,.556,.000,.278,9.2,18.0,13.7,13.8,0.0,2.9,12.9,25.2,114,115
T.R. Dunn,DEN,34:00,3,6,.500,0,0,,0,0,,5,7,12,4,2,1,2,1,6,.500,.500,.000,.000,15.3,21.0,18.2,11.1,2.6,1.4,25.0,8.7,114,111
Rob Williams,DEN,32:00,4,10,.400,0,0,,6,8,.750,1,2,3,7,0,0,1,5,14,.518,.400,.000,.800,3.3,6.4,4.8,21.4,0.0,0.0,6.9,16.7,127,121
Dan Issel,DEN,29:00,15,23,.652,0,0,,4,4,1.000,4,9,13,6,0,3,1,0,34,.687,.652,.000,.174,14.4,31.7,23.1,32.9,0.0,5.1,3.9,32.8,148,111
Mike Evans,DEN,16:00,3,6,.500,0,0,,2,2,1.000,0,1,1,2,0,0,2,1,8,.581,.500,.000,.333,0.0,6.4,3.2,13.0,0.0,0.0,22.5,20.5,102,121
Howard Carter,DEN,14:00,4,8,.500,0,0,,0,0,,1,2,3,2,0,0,1,2,8,.500,.500,.000,.000,7.5,14.6,11.1,16.6,0.0,0.0,11.1,23.7,107,119
Bill Hanzlik,DEN,13:00,2,4,.500,0,0,,1,4,.250,0,1,1,1,2,1,0,6,5,.434,.500,.000,1.000,0.0,7.9,4.0,7.8,6.8,3.8,0.0,16.3,99,102
Kenny Dennard,DEN,11:00,1,1,1.000,0,0,,0,2,.000,2,1,3,4,0,0,0,4,2,.532,1.000,.000,2.000,19.0,9.3,14.1,34.5,0.0,0.0,0.0,6.3,149,120
Dave Robisch,DEN,7:00,0,3,.000,0,0,,2,2,1.000,0,2,2,1,0,0,0,0,2,.000,.000,.000,.000,14.9,43.8,29.5,12.5,0.0,7.0,50.0,10.5,55,106
Richard Anderson,DEN,7:00,0,1,.000,0,0,,0,0,,1,3,4,1,0,1,1,0,0,.258,.000,.000,.667,0.0,29.2,14.7,12.5,0.0,0.0,0.0,20.4,87,117
Danny Schayes,DEN,5:00,0,1,.000,0,0,,0,0,,1,0,1,2,0,0,0,1,0,.000,.000,.000,.000,20.9,0.0,10.3,34.9,0.0,0.0,0.0,7.4,120,122
