ranker,player,,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
1,Alaa Abdelnaby,Alaa Abdelnaby,PF,24,TOT,75,1311,13.2,.551,.002,.245,11.0,18.1,14.6,3.0,1.0,1.2,15.6,20.5,,0.7,1.3,2.0,.074,,-2.4,-1.5,-3.9,-0.6
2,Mahmoud Abdul-Rauf,Mahmoud Abdul-Rauf,PG,23,DEN,DEN,81,2710,15.6,.515,.140,.165,2.0,6.8,4.4,20.8,1.5,0.2,11.0,25.5,,3.0,2.2,5.1,.091,,0.9,-1.1,-0.1,1.3
3,Mark Acres,Mark Acres,C,30,TOT,18,269,8.9,.571,.041,.327,10.8,17.4,14.0,2.5,0.5,1.4,18.8,11.0,,0.1,0.2,0.3,.056,,-3.7,-1.6,-5.3,-0.2
4,Michael Adams,Michael Adams,PG,30,WSB,WSB,70,2499,15.6,.543,.255,.333,2.3,8.6,5.4,30.6,2.0,0.1,15.5,19.2,,3.3,1.2,4.6,.088,,0.9,-0.9,0.0,1.3
5,Rafael Addison,Rafael Addison,SF,28,NJN,NJN,68,1164,8.4,.484,.083,.170,4.2,8.2,6.2,6.8,1.0,0.6,12.7,18.2,,-0.1,1.0,0.9,.038,,-3.9,-0.9,-4.8,-0.8
6,Mark Aguirre,Mark Aguirre,SF,33,DET,DET,51,1056,13.7,.525,.197,.306,4.3,12.0,8.0,15.3,0.8,0.4,12.4,22.2,,1.1,0.7,1.8,.082,,0.3,-0.5,-0.2,0.5
7,Danny Ainge,Danny Ainge,SG,33,PHO,PHO,80,2163,14.3,.596,.510,.199,2.6,8.3,5.5,16.5,1.5,0.2,12.5,17.3,,4.5,1.8,6.2,.139,,1.8,-0.3,1.4,1.9
8,Victor Alexander,Victor Alexander,C,23,GSW,GSW,72,1753,14.3,.548,.033,.243,8.4,18.4,13.4,7.8,0.9,1.9,14.0,20.0,,1.6,1.4,3.0,.083,,-1.0,-0.6,-1.6,0.2
9,Eric Anderson,Eric Anderson,PF,22,NYK,NYK,16,44,11.3,.443,.000,.722,15.6,19.6,17.7,9.9,3.5,1.5,17.4,28.2,,0.0,0.1,0.1,.091,,-7.6,2.0,-5.6,0.0
10,Kenny Anderson,Kenny Anderson,PG,22,NJN,NJN,55,2010,16.6,.487,.029,.273,2.8,9.5,6.1,34.7,2.4,0.3,13.8,23.1,,1.9,2.5,4.4,.106,,1.1,0.5,1.6,1.8
