ranker,player,,pos,age,team_id,,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
1,Álex Abrines,Álex Abrines,SG,24,OKC,OKC,75,1134,9.0,.567,.759,.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,,1.3,1.0,2.2,.094,,-1.9,0.4,-1.5,0.1
2,Quincy Acy,Quincy Acy,PF,27,BRK,BRK,70,1359,8.2,.525,.800,.164,3.1,17.1,10.0,6.0,1.2,1.6,13.3,14.4,,-0.1,1.1,1.0,.036,,-2.6,0.1,-2.5,-0.2
3,Steven Adams,Steven Adams,C,24,OKC,OKC,76,2487,20.6,.630,.003,.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,,6.7,3.0,9.7,.187,,1.7,-0.6,1.1,2.0
4,Bam Adebayo,Bam Adebayo,C,20,MIA,MIA,69,1368,15.7,.570,.021,.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,,2.3,1.9,4.2,.148,,-1.1,0.7,-0.4,0.6
5,Arron Afflalo,Arron Afflalo,SG,32,ORL,ORL,53,682,5.8,.516,.432,.160,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,,-0.1,0.2,0.1,.009,,-3.8,-1.5,-5.4,-0.6
6,Cole Aldrich,Cole Aldrich,C,29,MIN,MIN,21,49,6.0,.340,.000,.400,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,,-0.1,0.1,0.0,-0.013,,-6.8,-0.7,-7.5,-0.1
7,LaMarcus Aldridge,LaMarcus Aldridge,C,32,SAS,SAS,75,2509,25.0,.570,.068,.296,10.8,17.3,14.0,11.3,0.9,3.0,6.8,29.1,,7.4,3.5,10.9,.209,,4.3,-0.4,3.9,3.7
8,Jarrett Allen,Jarrett Allen,C,19,BRK,BRK,72,1441,17.5,.636,.038,.370,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,,2.7,1.5,4.2,.141,,-0.9,0.1,-0.8,0.5
9,Kadeem Allen,Kadeem Allen,PG,25,BOS,BOS,18,107,2.6,.366,.500,.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,,-0.2,0.1,-0.1,-0.038,,-8.3,0.6,-7.7,-0.2
10,Tony Allen,Tony Allen,SF,36,NOP,NOP,22,273,8.7,.514,.132,.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,,-0.2,0.2,0.1,.017,,-5.2,-0.3,-5.5,-0.2
11,Al-Farouq Aminu,Al-Farouq Aminu,PF,27,POR,POR,69,2072,12.0,.522,.582,.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,,0.9,3.2,4.2,.097,,-0.7,1.1,0.4,1.3
12,Justin Anderson,Justin Anderson,SF,24,PHI,PHI,38,519,13.0,.540,.510,.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,,0.6,0.7,1.2,.115,,-0.6,-0.3,-0.9,0.1
13,Kyle Anderson,Kyle Anderson,SF,24,SAS,SAS,74,1978,15.9,.582,.130,.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,,2.4,3.8,6.2,.151,,-0.4,3.3,2.9,2.4
14,Ryan Anderson,Ryan Anderson,PF,29,HOU,HOU,66,1725,12.6,.592,.706,.194,6.2,15.4,10.8,5.1,0.7,1.0,7.5,14.4,,3.1,1.7,4.8,.132,,0.9,-0.8,0.1,0.9
15,Ike Anigbogu,Ike Anigbogu,C,19,IND,IND,11,30,21.6,.558,.000,.667,19.0,15.0,16.9,0.0,1.7,8.9,14.7,20.3,,0.1,0.0,0.1,.165,,1.8,0.1,1.9,0.0
16,Giannis Antetokounmpo,Giannis Antetokounmpo,PF,23,MIL,MIL,75,2756,27.3,.598,.100,.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,,8.3,3.6,11.9,.207,,5.3,0.9,6.2,5.7
17,Carmelo Anthony,Carmelo Anthony,PF,33,OKC,OKC,78,2501,12.7,.503,.406,.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,,1.2,2.5,3.7,.071,,-0.6,-1.3,-1.9,0.0
18,OG Anunoby,OG Anunoby,SF,20,TOR,TOR,74,1481,10.0,.587,.569,.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,,1.4,1.6,3.0,.098,,-1.2,0.6,-0.6,0.5
19,Ryan Arcidiacono,Ryan Arcidiacono,PG,23,CHI,CHI,24,304,7.3,.550,.756,.146,0.3,8.8,4.4,15.5,2.1,0.0,23.0,8.1,,0.1,0.2,0.3,.040,,-4.7,0.6,-4.1,-0.2
20,Trevor Ariza,Trevor Ariza,SF,32,HOU,HOU,67,2269,11.8,.567,.710,.137,1.7,12.9,7.3,6.8,2.1,0.5,7.0,14.4,,2.6,2.8,5.3,.113,,0.0,0.7,0.7,1.5
21,Darrell Arthur,Darrell Arthur,PF,29,DEN,DEN,19,141,8.4,.559,.489,.064,2.4,9.5,6.0,9.3,2.8,1.8,23.7,19.5,,-0.2,0.1,0.0,-0.011,,-4.8,-0.5,-5.3,-0.1
22,Jamel Artis,Jamel Artis,SG,25,ORL,ORL,15,279,6.9,.457,.367,.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,,-0.1,0.1,0.0,-0.006,,-3.8,-1.6,-5.4,-0.2
23,Ömer Aşık,Ömer Aşık,C,31,TOT,18,182,3.1,.397,.000,.591,5.5,22.2,14.0,2.1,0.5,1.9,24.5,8.7,,-0.2,0.2,-0.1,-0.021,,-6.5,-1.5,-8.0,-0.3
24,D.J. Augustin,D.J. Augustin,PG,30,ORL,ORL,75,1760,15.4,.615,.504,.350,1.9,8.2,5.0,24.4,1.5,0.0,16.5,18.6,,3.3,0.8,4.1,.110,,1.0,-1.2,-0.2,0.8
25,Luke Babbitt,Luke Babbitt,SF,28,TOT,50,715,9.8,.576,.726,.102,1.1,13.9,7.5,6.5,0.5,0.8,7.8,15.0,,0.5,0.4,0.9,.060,,-0.9,-1.5,-2.4,-0.1
26,Dwayne Bacon,Dwayne Bacon,SG,22,CHO,CHO,53,713,5.8,.431,.224,.130,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,,-0.7,0.6,-0.1,-0.007,,-4.8,0.1,-4.7,-0.5
27,Ron Baker,Ron Baker,SG,24,NYK,NYK,29,385,9.3,.504,.559,.441,1.4,7.2,4.3,15.5,3.3,1.3,20.4,10.0,,0.1,0.4,0.5,.059,,-2.8,2.4,-0.4,0.2
28,Wade Baldwin,Wade Baldwin,PG,21,POR,POR,7,80,16.6,.748,.238,.476,1.4,9.5,5.5,9.8,1.2,1.0,13.6,16.1,,0.2,0.1,0.3,.187,,0.2,1.7,1.9,0.1
29,Lonzo Ball,Lonzo Ball,PG,20,LAL,LAL,52,1780,12.5,.444,.523,.126,4.2,17.3,10.8,29.2,2.4,2.0,18.6,17.4,,-0.5,2.5,2.0,.053,,-0.7,1.6,1.0,1.3
30,J.J. Barea,J.J. Barea,PG,33,DAL,DAL,69,1603,17.8,.545,.454,.148,1.0,13.4,7.0,45.1,1.1,0.2,16.3,24.9,,2.3,1.0,3.3,.098,,2.7,-1.5,1.2,1.3
31,Harrison Barnes,Harrison Barnes,PF,25,DAL,DAL,77,2634,15.8,.539,.276,.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,,2.0,1.9,3.8,.070,,0.8,-1.3,-0.5,1.0
32,Will Barton,Will Barton,SG,27,DEN,DEN,81,2683,16.2,.562,.411,.220,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,,4.4,1.8,6.2,.111,,1.6,-0.4,1.1,2.1
33,Nicolas Batum,Nicolas Batum,SG,29,CHO,CHO,64,1981,14.4,.523,.422,.200,3.1,13.8,8.4,26.2,1.6,1.0,15.6,18.3,,1.7,1.8,3.5,.084,,0.5,-0.1,0.4,1.2
34,Jerryd Bayless,Jerryd Bayless,SG,29,PHI,PHI,39,925,7.5,.546,.557,.168,1.8,7.3,4.7,8.0,1.2,0.5,14.1,15.1,,0.2,0.9,1.1,.055,,-2.7,-0.2,-2.8,-0.2
35,Aron Baynes,Aron Baynes,C,31,BOS,BOS,81,1485,12.0,.502,.047,.175,9.7,22.1,16.0,9.6,0.7,2.9,14.3,16.8,,0.5,2.5,3.0,.097,,-3.6,0.7,-2.9,-0.3
36,Kent Bazemore,Kent Bazemore,SG,28,ATL,ATL,65,1789,14.5,.547,.405,.297,1.6,13.9,7.7,20.1,2.7,2.2,17.0,22.5,,0.2,2.0,2.2,.059,,-0.4,1.0,0.6,1.2
37,Bradley Beal,Bradley Beal,SG,24,WAS,WAS,82,2977,18.4,.564,.357,.249,2.3,11.5,6.9,21.0,1.6,1.1,11.5,27.6,,4.4,2.5,6.9,.111,,2.9,-0.7,2.2,3.1
38,Malik Beasley,Malik Beasley,SG,21,DEN,DEN,62,583,9.0,.509,.461,.185,2.7,11.0,6.9,7.4,1.3,1.0,11.1,16.2,,0.1,0.3,0.3,.028,,-2.4,-1.4,-3.8,-0.3
39,Michael Beasley,Michael Beasley,PF,29,NYK,NYK,74,1653,17.8,.556,.107,.197,6.5,21.2,13.9,12.5,1.1,2.3,14.0,26.9,,0.9,1.5,2.4,.069,,0.6,-0.8,-0.2,0.7
40,Marco Belinelli,Marco Belinelli,SG,31,TOT,80,1947,14.1,.581,.517,.213,1.1,7.3,4.3,11.9,1.6,0.5,10.1,20.7,,2.4,1.3,3.7,.092,,0.4,-0.8,-0.5,0.8
41,Jordan Bell,Jordan Bell,C,23,GSW,GSW,57,809,18.0,.641,.022,.238,8.9,19.0,14.3,16.9,2.1,5.5,20.0,13.9,,1.6,1.4,2.9,.174,,0.0,2.8,2.8,1.0
42,DeAndre' Bembry,DeAndre' Bembry,SF,23,ATL,ATL,26,455,7.6,.477,.234,.258,2.0,15.7,8.8,15.9,2.3,2.3,24.8,18.2,,-0.9,0.5,-0.4,-0.040,,-5.1,0.3,-4.7,-0.3
43,Dragan Bender,Dragan Bender,PF,20,PHO,PHO,82,2069,7.1,.524,.665,.105,2.0,16.8,9.3,8.9,0.5,2.1,18.1,12.7,,-0.7,0.8,0.1,.001,,-2.9,-0.8,-3.7,-0.9
44,Dāvis Bertāns,Dāvis Bertāns,PF,25,SAS,SAS,77,1086,14.1,.588,.689,.134,1.8,13.9,7.8,10.3,1.2,2.1,8.5,17.4,,1.6,1.4,3.1,.135,,1.0,0.6,1.6,1.0
45,Patrick Beverley,Patrick Beverley,SG,29,LAC,LAC,11,334,12.4,.530,.504,.143,5.3,9.4,7.4,13.8,2.8,1.3,16.5,19.6,,0.1,0.3,0.4,.056,,-0.3,0.8,0.5,0.2
46,Khem Birch,Khem Birch,C,25,ORL,ORL,42,578,16.4,.582,.000,.484,13.2,21.1,17.1,8.5,1.3,2.9,12.1,13.2,,1.2,0.6,1.8,.150,,-0.7,-0.2,-0.9,0.2
47,Jabari Bird,Jabari Bird,SG,23,BOS,BOS,13,115,12.1,.615,.269,.500,5.8,12.2,9.0,10.5,1.3,0.7,20.1,15.4,,0.1,0.2,0.2,.098,,-2.7,-0.4,-3.1,0.0
48,Bismack Biyombo,Bismack Biyombo,C,25,ORL,ORL,82,1495,14.1,.556,.003,.446,10.5,24.0,17.2,6.5,0.7,5.1,16.6,14.9,,1.1,1.8,2.9,.094,,-2.6,0.2,-2.4,-0.2
49,Nemanja Bjelica,Nemanja Bjelica,PF,29,MIN,MIN,67,1371,12.6,.581,.493,.121,4.4,18.8,11.5,8.7,1.8,1.0,11.7,14.3,,1.7,1.1,2.8,.097,,-0.1,0.2,0.1,0.7
50,Tarik Black,Tarik Black,C,26,HOU,HOU,51,536,14.3,.582,.087,.496,13.4,20.9,17.1,3.7,1.9,4.8,18.4,15.6,,0.5,1.0,1.5,.136,,-3.7,1.2,-2.6,-0.1
51,Antonio Blakeney,Antonio Blakeney,SG,21,CHI,CHI,19,314,10.1,.471,.364,.273,1.3,10.3,5.6,10.1,1.1,0.3,6.4,23.7,,-0.2,0.1,0.0,-0.006,,-2.8,-2.4,-5.2,-0.3
52,Eric Bledsoe,Eric Bledsoe,PG,28,TOT,74,2322,19.7,.582,.364,.321,2.6,11.7,7.1,25.7,3.2,1.5,16.1,26.1,,3.1,2.5,5.6,.116,,2.3,0.3,2.5,2.6
53,Vander Blue,Vander Blue,SG,25,LAL,LAL,5,45,-1.8,.255,.400,.400,0.0,2.3,1.2,8.2,1.1,0.0,33.8,8.4,,-0.1,0.0,-0.1,-0.103,,-7.6,-0.7,-8.4,-0.1
54,Bogdan Bogdanović,Bogdan Bogdanović,SG,25,SAC,SAC,78,2175,13.5,.556,.426,.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,,1.8,1.1,2.9,.064,,-0.6,-0.9,-1.5,0.3
55,Bojan Bogdanović,Bojan Bogdanović,SF,28,IND,IND,80,2464,13.9,.605,.453,.241,1.4,10.9,6.2,7.1,1.1,0.3,10.1,19.0,,3.8,1.6,5.4,.105,,0.5,-1.2,-0.7,0.8
56,Andrew Bogut,Andrew Bogut,C,33,LAL,LAL,24,216,10.9,.696,.000,.080,12.9,25.4,19.2,9.1,0.9,4.9,42.3,8.8,,0.1,0.3,0.4,.094,,-4.7,1.9,-2.8,-0.1
57,Joel Bolomboy,Joel Bolomboy,PF,24,MIL,MIL,6,38,11.7,.521,.167,1.000,18.6,12.3,15.4,0.0,2.6,0.0,18.8,12.6,,0.0,0.0,0.1,.079,,-2.6,-2.4,-5.0,0.0
58,Devin Booker,Devin Booker,SG,21,PHO,PHO,54,1865,18.1,.561,.364,.312,1.5,12.7,7.0,24.4,1.2,0.6,13.9,31.7,,1.9,0.6,2.4,.063,,2.9,-2.0,0.9,1.4
59,Trevor Booker,Trevor Booker,PF,30,TOT,68,1158,14.9,.557,.096,.271,11.1,18.6,14.9,10.8,1.2,1.5,13.3,16.6,,1.6,1.3,2.9,.121,,-0.6,0.0,-0.6,0.4
60,Chris Boucher,Chris Boucher,PF,25,GSW,GSW,1,1,-28.5,.000,1.000,.000,0.0,100.0,55.9,0.0,0.0,0.0,0.0,43.9,,0.0,0.0,0.0,-0.899,,-21.7,-11.4,-33.1,0.0
61,Avery Bradley,Avery Bradley,SG,27,TOT,46,1433,9.6,.496,.325,.131,1.7,7.3,4.5,10.4,1.8,0.5,13.3,23.5,,-1.4,1.2,-0.2,-0.007,,-3.0,-1.0,-4.0,-0.7
62,Tony Bradley,Tony Bradley,C,20,UTA,UTA,9,29,9.5,.337,.091,.182,15.8,27.1,21.5,5.0,0.0,0.0,0.0,18.4,,0.0,0.0,0.0,.033,,-3.0,-4.5,-7.5,0.0
63,Corey Brewer,Corey Brewer,SF-SG,31,TOT,72,1208,11.2,.534,.348,.285,3.8,10.0,6.9,7.5,3.2,1.0,12.1,14.3,,0.7,1.6,2.3,.091,,-3.2,1.9,-1.3,0.2
64,Malcolm Brogdon,Malcolm Brogdon,PG,25,MIL,MIL,48,1436,14.3,.578,.320,.169,1.9,10.8,6.4,16.3,1.4,0.8,10.9,19.1,,2.0,0.7,2.7,.091,,-0.1,-1.0,-1.2,0.3
65,Aaron Brooks,Aaron Brooks,PG,33,MIN,MIN,32,189,9.8,.508,.449,.159,4.2,6.2,5.2,15.1,1.6,0.0,13.0,19.9,,0.1,0.1,0.1,.033,,-2.6,-1.3,-3.8,-0.1
66,Dillon Brooks,Dillon Brooks,SF,22,MEM,MEM,82,2350,9.8,.531,.342,.215,2.4,10.5,6.3,9.3,1.6,0.7,12.8,18.5,,0.1,1.1,1.2,.024,,-2.9,-1.1,-4.0,-1.2
67,MarShon Brooks,MarShon Brooks,SG,29,MEM,MEM,7,193,26.1,.629,.314,.225,4.7,8.0,6.3,25.9,2.9,1.5,12.5,29.8,,0.6,0.2,0.7,.179,,7.5,-0.4,7.1,0.4
68,Anthony Brown,Anthony Brown,SF,25,MIN,MIN,1,4,41.9,1.500,1.000,.000,0.0,0.0,0.0,41.7,0.0,0.0,0.0,11.1,,0.0,0.0,0.0,.571,,26.2,4.3,30.5,0.0
69,Bobby Brown,Bobby Brown,PG,33,HOU,HOU,20,115,5.5,.425,.690,.034,0.0,6.8,3.4,15.0,1.7,0.0,13.3,26.1,,-0.3,0.1,-0.2,-0.080,,-4.9,-2.3,-7.2,-0.2
70,Jaylen Brown,Jaylen Brown,SG,21,BOS,BOS,70,2152,13.6,.562,.381,.290,3.4,14.0,8.8,8.5,1.6,1.0,12.0,21.4,,1.2,3.2,4.5,.100,,-0.8,0.3,-0.5,0.8
71,Lorenzo Brown,Lorenzo Brown,PG,27,TOR,TOR,14,139,8.2,.459,.353,.059,0.8,11.1,6.0,12.4,1.8,0.0,7.9,11.9,,0.0,0.1,0.2,.060,,-3.9,1.5,-2.5,0.0
72,Markel Brown,Markel Brown,SG,26,HOU,HOU,4,31,-1.2,.357,.714,.000,3.7,14.4,9.1,8.7,0.0,0.0,22.2,12.8,,-0.1,0.0,0.0,-0.063,,-8.8,-2.0,-10.8,-0.1
73,Sterling Brown,Sterling Brown,SG,22,MIL,MIL,54,776,9.1,.503,.444,.117,4.1,17.5,10.8,4.5,2.0,1.4,10.4,14.0,,0.0,0.7,0.7,.043,,-2.8,-0.2,-3.1,-0.2
74,Nicolás Brussino,Nicolás Brussino,SF,24,ATL,ATL,4,10,-4.6,.000,1.000,.000,0.0,33.5,16.7,0.0,0.0,0.0,0.0,8.7,,0.0,0.0,0.0,-0.180,,-8.1,-3.2,-11.3,0.0
75,Thomas Bryant,Thomas Bryant,C,20,LAL,LAL,15,72,9.9,.441,.476,.429,4.5,20.5,12.6,11.5,0.7,2.3,7.4,15.9,,0.0,0.1,0.1,.050,,-3.1,-0.2,-3.3,0.0
76,Reggie Bullock,Reggie Bullock,SF,26,DET,DET,62,1732,13.6,.615,.515,.090,1.7,8.3,4.9,8.4,1.4,0.7,7.6,15.7,,2.8,1.4,4.2,.117,,0.7,0.0,0.7,1.2
77,Trey Burke,Trey Burke,PG,25,NYK,NYK,36,785,21.0,.563,.273,.148,1.8,8.2,5.0,36.4,1.5,0.4,9.5,25.1,,2.0,0.3,2.4,.145,,3.9,-1.4,2.5,0.9
78,Alec Burks,Alec Burks,SG,26,UTA,UTA,64,1059,13.1,.527,.343,.300,2.1,18.4,10.3,10.0,1.8,0.6,11.4,22.5,,0.2,1.6,1.9,.084,,-1.3,0.4,-0.9,0.3
79,Jimmy Butler,Jimmy Butler,SG,28,MIN,MIN,59,2164,23.7,.590,.217,.461,4.2,12.7,8.4,20.6,2.7,1.0,8.9,24.9,,7.1,1.8,8.9,.198,,5.0,0.7,5.8,4.2
