name,team,pos,age,games,gamesStarted,mpg,fgm,fga,fg%,3pm,3pa,3%,2%,efg%,ftm,fta,ft%,orb,drb,trb,apg,spg,bpg,tov,pf,ppg
Mahmoud Abdul-Rauf,VAN,PG,31,41,0,11.9,2.9,6.0,.488,0.1,0.3,.286,.500,.496,0.5,0.7,.759,0.1,0.5,0.6,1.9,0.2,0.0,0.6,1.2,6.5
Tariq Abdul-Wahad,DEN,SG,26,29,12,14.5,1.5,3.8,.387,0.1,0.3,.400,.386,.405,0.7,1.2,.583,0.5,1.6,2.0,0.8,0.5,0.4,1.2,1.9,3.8
Shareef Abdur-Rahim,VAN,SF,24,81,81,40.0,7.5,15.8,.472,0.1,0.8,.188,.487,.477,5.5,6.6,.834,2.2,6.9,9.1,3.1,1.1,1.0,2.9,2.9,20.5
Cory Alexander,ORL,PG,27,26,0,8.7,0.7,2.2,.321,0.2,0.6,.250,.350,.357,0.5,0.7,.667,0.0,1.0,1.0,1.4,0.6,0.0,1.0,1.1,2.0
Courtney Alexander,TOT,PG,23,65,24,21.3,3.7,8.8,.417,0.3,0.7,.370,.421,.432,1.9,2.3,.820,0.6,1.6,2.2,1.0,0.7,0.1,1.2,2.1,9.5
Ray Allen*,MIL,SG,25,82,82,38.2,7.7,16.0,.480,2.5,5.7,.433,.506,.557,4.2,4.8,.888,1.2,4.0,5.2,4.6,1.5,0.2,2.5,2.3,22.0
Rafer Alston,MIL,PG,24,37,2,7.8,0.8,2.3,.357,0.2,0.8,.267,.407,.405,0.2,0.4,.692,0.1,0.7,0.8,1.8,0.4,0.0,0.5,0.7,2.1
John Amaechi,ORL,C,30,82,36,20.9,2.9,7.2,.400,0.0,0.1,.000,.405,.400,2.1,3.4,.631,0.9,2.3,3.3,0.9,0.3,0.4,1.5,2.1,7.9
Derek Anderson,SAS,SG,26,82,82,34.9,5.0,12.1,.416,1.2,3.1,.399,.422,.467,4.2,4.9,.851,0.9,3.5,4.4,3.7,1.5,0.2,2.0,2.3,15.5
Kenny Anderson,BOS,PG,30,33,28,25.7,2.7,6.9,.388,0.3,1.0,.333,.397,.412,1.8,2.2,.831,0.5,1.7,2.2,4.1,1.3,0.1,1.6,1.9,7.5
Nick Anderson,SAC,SG,33,21,0,8.0,0.7,2.7,.246,0.5,1.9,.256,.222,.333,0.0,0.0,,0.1,1.0,1.2,0.6,0.5,0.2,0.3,0.6,1.8
Shandon Anderson,HOU,SG,27,82,82,29.2,3.2,7.2,.446,0.6,2.1,.271,.517,.485,1.7,2.3,.734,0.9,3.2,4.1,2.3,1.0,0.5,1.6,2.5,8.7
Greg Anthony,POR,PG,33,58,0,14.8,1.7,4.4,.383,1.1,2.7,.409,.340,.512,0.4,0.6,.657,0.4,0.7,1.1,1.4,0.7,0.1,0.7,1.1,4.9
Darrell Armstrong,ORL,PG,32,75,75,36.9,5.5,13.4,.412,1.9,5.4,.355,.451,.484,2.9,3.3,.884,1.3,3.3,4.6,7.0,1.8,0.2,2.7,2.1,15.9
Chucky Atkins,DET,PG,26,81,75,29.2,4.7,11.8,.399,1.5,4.2,.357,.423,.463,1.1,1.6,.692,0.3,1.8,2.1,4.1,0.8,0.1,1.8,2.3,12.0
Stacey Augmon,POR,SG,32,66,23,17.9,1.9,4.0,.477,0.0,0.1,.000,.485,.477,0.9,1.3,.655,0.9,1.5,2.4,1.5,0.7,0.3,0.7,1.6,4.7
Isaac Austin,VAN,C,31,52,16,16.3,1.8,5.2,.356,0.1,0.5,.250,.366,.367,0.5,0.8,.700,1.0,3.3,4.3,1.1,0.4,0.4,1.0,1.8,4.3
William Avery,MIN,PG,21,55,0,8.4,1.0,2.6,.382,0.3,1.1,.271,.459,.438,0.5,0.7,.778,0.1,0.4,0.5,1.4,0.2,0.1,0.8,0.9,2.8
Dalibor Bagarić,CHI,C,20,35,0,7.4,0.5,1.9,.262,0.0,0.0,.000,.266,.262,0.4,0.8,.464,0.6,1.0,1.6,0.3,0.3,0.5,0.6,1.3,1.3
